Assembly	CGT3662_scaffolds
# contigs (>= 0 bp)	10
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	7
# contigs (>= 10000 bp)	7
# contigs (>= 25000 bp)	7
# contigs (>= 50000 bp)	7
Total length (>= 0 bp)	2915377
Total length (>= 1000 bp)	2914433
Total length (>= 5000 bp)	2914433
Total length (>= 10000 bp)	2914433
Total length (>= 25000 bp)	2914433
Total length (>= 50000 bp)	2914433
# contigs	8
Largest contig	1528638
Total length	2915081
GC (%)	37.86
N50	1528638
N75	330532
L50	1
L75	3
# N's per 100 kbp	2.61
